Item ID,Inventory Balance,Items to Expire,$ Value of Transfer
169565,0.0,0.0,0.0
169567,0.0,0.0,0.0
169807,68.48872000000001,0.0,53.794999999999995
169871,0.0,0.0,0.0
170292,3703.0999999999995,1141.8999999999999,3610.0
170293,0.0,0.0,0.0
170296,214.70000000000016,0.0,95.0
170297,2064.7000000000003,0.0,1870.0
170298,3586.0,0.0,3410.0
170299,0.0,0.0,0.0
170300,766.5000000000002,0.0,675.0
170302,608.3999999999991,0.0,520.0
170463,0.0,0.0,0.0
170551,188.58576,0.0,180.52232
170767,6407.8704,0.0,6187.1399999999985
170768,1082.3960000000002,0.0,1013.08
170772,246.1751999999998,282.96,282.96
170795,34608.59999999999,0.0,32760.0
170891,0.0,0.0,0.0
170892,0.0,0.0,0.0
170893,0.0,0.0,0.0
170934,747.2087999999994,0.0,478.98
170935,0.0,0.0,0.0
171811,1159.7400000000005,0.0,37026.0
172096,0.0,0.0,0.0
172157,612.0,0.0,612.0
172949,0.0,0.0,0.0
173259,0.0,0.0,0.0
173263,1360.8000000000004,0.0,1200.0
173265,0.0,0.0,0.0
173266,0.0,0.0,0.0
173267,1022.8259999999999,0.0,720.3
173268,69.1739999999999,0.0,0.0
173270,3006.0519999999997,0.0,1920.8
173375,0.0,0.0,0.0
174864,104.0,0.0,104.0
175561,6180.48,0.0,5328.0
175562,3847.5920000000006,0.0,3733.8
175572,1466.9999999999995,0.0,1275.0
175574,0.0,0.0,0.0
175576,0.0,0.0,0.0
175578,0.0,0.0,0.0
175585,254.59999999999985,0.0,190.0
176232,0.0,0.0,0.0
176233,7.559999999999988,4116.0,4116.0
176412,1345.2,0.0,1330.0
176413,610.8500000000001,0.0,475.0
176517,0.0,0.0,0.0
176577,0.0,48.05,0.0
176585,0.0,0.0,0.0
176612,248.4311999999999,0.0,243.56
176644,207.54640000000012,0.0,170.12
176666,161.568,0.0,105.6
176669,0.0,0.0,237.17999999999995
176692,0.0,0.0,0.0
176693,0.0,0.0,0.0
176782,0.0,0.0,0.0
176970,0.8873999999999942,0.0,0.0
177015,1345.7471999999998,0.0,1240.32
177016,20567.008,0.0,24923.36
177047,0.0,0.0,64.56
177289,5369.279999999998,0.0,4512.0
177570,0.0,0.0,0.0
177625,242.88,792.0,792.0
177626,0.0,0.0,0.0
177657,0.0,0.0,0.0
178340,2133.78,0.0,1342.0
179030,0.0,0.0,0.0
179292,106.2500000000001,0.0,0.0
179353,0.0,0.0,0.0
179366,1958.0399999999997,27972.0,27972.0
179367,0.0,19202.4,0.0
179368,19580.388,2145.6000000000004,18237.600000000002
179369,0.0,0.0,4291.2
179371,725.4000000000001,0.0,684.0
179581,0.0,0.0,0.0
179630,0.0,0.0,0.0
179751,0.0,0.0,310.55
180029,0.0,0.0,0.0
180586,166.53199999999998,0.0,97.96
180773,0.0,0.0,0.0
180820,0.0,0.0,0.0
180886,4300.2112,0.0,4237.76
180887,48.960000000000115,0.0,0.0
181167,1750.2384000000002,0.0,1720.74
182026,2014.740000000001,0.0,2009.0
183128,0.0,0.0,0.0
183271,0.0,0.0,0.0
183297,0.0,0.0,0.0
183302,350.6776000000003,0.0,0.0
183304,1735.8200000000002,0.0,3411.0
183306,0.0,0.0,0.0
183310,6.700000000000006,0.0,0.0
183335,389.5685999999999,0.0,369.75
183399,632.5,0.0,556.6
183400,0.0,0.0,0.0
183401,1999.758,0.0,1978.0
183418,431.7448,0.0,457.67999999999995
183420,114.74700000000004,0.0,498.90000000000003
183444,99.56085159999996,0.0,98.04276999999999
183447,0.0,0.0,0.0
183454,0.0,0.0,0.0
183455,0.0,0.0,0.0
183472,0.0,0.0,0.0
183878,34.3796,0.0,0.0
183890,202.61279999999994,0.0,129.88
183938,30.564000000000004,0.0,0.0
183961,0.0,0.0,0.0
184005,0.0,0.0,0.0
184012,288.0144,0.0,286.74
184019,70.594,0.0,0.0
184027,0.0,0.0,0.0
184030,0.0,0.0,0.0
184031,0.0,0.0,0.0
184046,0.0,0.0,72.89
184047,0.0,0.0,0.0
184061,0.0,0.0,0.0
184062,0.0,0.0,0.0
184066,0.0,0.0,0.0
184073,1940.0,0.0,1940.0
184074,0.0,0.0,0.0
184080,392.7983999999999,0.0,332.88
184084,0.0,0.0,0.0
184085,0.0,0.0,0.0
184086,62.67359999999993,427.32,427.32
184088,96.9573,0.0,0.0
184093,489.6414,0.0,352.26
184094,0.0,0.0,0.0
184110,0.0,0.0,0.0
184112,824.0399999999997,0.0,763.0
184116,1276.2544000000005,0.0,1217.8
184128,0.0,0.0,0.0
184129,22.732800000000527,0.0,0.0
184132,0.0,0.0,0.0
184133,1082.7648,0.0,1041.1200000000001
184134,4078.499999999999,0.0,3300.0
184139,182.68,0.0,182.68
184142,739.7040000000001,0.0,699.72
184147,0.0,0.0,0.0
184148,1508.8,0.0,736.0
184153,341.77440000000024,0.0,323.65000000000003
184165,0.0,0.0,0.0
184170,0.0,0.0,0.0
184173,0.0,0.0,0.0
184176,0.0,0.0,0.0
184189,320.6778,0.0,297.51
184196,0.0,0.0,153.92
184204,0.0,0.0,0.0
184209,0.0,0.0,0.0
184231,254.0,0.0,254.0
184232,602.2148000000003,0.0,538.5600000000001
184233,0.0,0.0,0.0
184235,2.209000000000002,0.0,0.0
184236,26.49550000000008,0.0,0.0
184249,0.0,0.0,0.0
184251,5.790400000000003,0.0,0.0
184253,0.0,0.0,0.0
184491,1565.9999999999995,0.0,1425.0
184593,326.62120000000004,0.0,281.57
184724,0.0,0.0,0.0
187455,152.27999999999997,0.0,117.0
187536,0.0,0.0,0.0
187708,0.0,0.0,0.0
188233,4240.600000000001,0.0,4130.0
188234,177.48000000000002,0.0,153.0
188235,64.6212,0.0,0.0
189066,13.918260000000002,0.0,0.0
189068,289.95980000000003,0.0,136.36
189122,0.0,0.0,0.0
189453,220.91719999999998,0.0,210.73999999999998
189977,0.0,0.0,0.0
190537,0.0,0.0,0.0
190538,0.0,0.0,0.0
190851,61.8574092,0.0,61.31241
190852,0.0,0.0,0.0
190853,0.0,0.0,0.0
190929,0.0,0.0,0.0
190930,0.0,0.0,0.0
190934,0.0,0.0,0.0
